Supplier_ID,Country,Region,Industry,Supplier_Tier,Financial_Stability_Score,On_Time_Delivery_Rate,Defect_Rate,Geopolitical_Risk_Index,Lead_Time_Days,Alternative_Suppliers_Available,Contract_Length_Months,Environmental_Compliance,Previous_Disruptions,Delivery_Quality_Index,Supplier_Dependency_Score,Risk_Level
SUP_32713,Vietnam,Asia,Energy,2,26.730699,76.322525,5.394439,31,44,3,35,71.37,2,72.2054,0.25,1
SUP_18040,Colombia,South America,Electronics,2,56.592041,65.019211,2.60033,31,22,5,30,100.91,1,63.3285,0.1667,1
SUP_04464,Jordan,Asia,Manufacturing,3,54.437745,67.283288,6.172378,49,7,0,1,39.39,1,63.1303,1,1
SUP_12464,UAE,Asia,Energy,3,48.815435,81.214527,0,48,36,3,4,60.65,0,81.2145,0.25,1
SUP_31075,Canada,North America,Electronics,1,60.060132,74.474843,2.012284,13,21,1,24,63.41,1,72.9762,0.5,1
SUP_07784,Egypt,Africa,Manufacturing,2,44.559941,72.580134,7.407241,48,0,4,21,89.92,1,67.2039,0.2,1
SUP_00962,Kenya,Africa,Energy,3,50.639473,61.139318,0,48,32,1,1,33.85,1,61.1393,0.5,1
SUP_07497,Canada,North America,Manufacturing,3,41.219583,35.076978,6.391379,13,34,2,7,65.72,1,32.8351,0.3333,1
SUP_12160,Jordan,Asia,Energy,2,65.485624,80.073308,9.259587,49,38,4,29,61.45,0,72.6589,0.2,1
SUP_32497,Bangladesh,Asia,Retail,2,62.456063,83.556864,5.344101,48,19,4,12,75.57,2,79.0915,0.2,1
SUP_25129,UAE,Asia,Retail,2,61.902474,89.909846,11.789592,48,19,5,33,87.6,2,79.3098,0.1667,1
SUP_32769,Indonesia,Asia,Energy,3,52.659647,71.594389,3.455302,31,43,4,8,63.68,1,69.1206,0.2,1
SUP_18523,China,Asia,Energy,2,39.038292,62.01607,2.928299,48,37,4,38,49.85,2,60.2001,0.2,1
SUP_13718,Jordan,Asia,Retail,1,52.169386,90.647452,2.182863,49,7,2,26,56.57,1,88.6687,0.3333,1
SUP_24692,Czech Republic,Europe,Retail,1,80.190211,100,2.857296,30,7,2,32,63.87,1,97.1427,0.3333,0
SUP_25481,Mexico,North America,Manufacturing,2,45.10861,59.872664,6.71114,31,23,3,33,93.46,2,55.8545,0.25,1
SUP_07181,Czech Republic,Europe,Retail,2,60.016735,84.558928,4.616132,30,11,3,31,62.95,1,80.6556,0.25,1
SUP_05187,Romania,Europe,Manufacturing,3,51.736626,100,1.097711,30,32,1,9,48.16,0,98.9023,0.5,1
SUP_27766,India,Asia,Energy,2,70.57712,87.135308,9.9517,49,26,4,18,59.94,2,78.4639,0.2,1
SUP_25653,Romania,Europe,Retail,3,77.858683,82.538256,7.628786,30,22,5,1,100.21,0,76.2416,0.1667,0
SUP_04106,Mexico,North America,Electronics,3,58.134844,74.224362,4.557952,31,0,0,1,92.44,1,70.8494,1,1
SUP_14809,Mexico,North America,Healthcare,2,47.286408,62.692418,1.986933,31,13,4,23,82.58,0,61.4468,0.2,1
SUP_00349,Thailand,Asia,Retail,2,48.830725,83.244727,4.681626,30,0,3,30,62.48,1,79.3475,0.25,1
SUP_23810,Chile,South America,Retail,2,38.704734,79.606144,7.7448,31,12,2,14,92.26,1,73.4408,0.3333,1
SUP_14917,Chile,South America,Manufacturing,3,38.731387,76.63302,3.67294,31,34,2,1,70.8,0,73.8183,0.3333,1
SUP_02377,Colombia,South America,Retail,3,48.399693,82.630629,3.130396,31,7,7,28,61.78,0,80.044,0.125,1
SUP_32932,France,Europe,Manufacturing,3,49.357412,67.621271,3.097875,12,0,0,11,66.81,0,65.5264,1,0
SUP_28358,India,Asia,Manufacturing,2,36.543131,73.349197,4.180153,49,21,2,20,39.19,1,70.2831,0.3333,1
SUP_26901,Sweden,Europe,Electronics,3,77.934125,69.886444,2.885059,12,28,4,5,51.37,1,67.8702,0.2,0
SUP_23831,Vietnam,Asia,Electronics,2,69.552083,83.313398,1.115219,31,29,5,29,86.79,0,82.3843,0.1667,0
SUP_04337,China,Asia,Energy,2,66.680214,82.447651,8.043046,48,42,4,13,81.43,3,75.8163,0.2,1
SUP_31144,Vietnam,Asia,Retail,2,71.208049,86.561183,6.639959,31,7,2,17,100.37,2,80.8136,0.3333,0
SUP_06692,Malaysia,Asia,Manufacturing,3,30.570883,74.215804,5.265158,31,15,4,7,54.64,0,70.3082,0.2,1
SUP_07890,Kazakhstan,Asia,Healthcare,3,56.079809,70.407276,0,48,49,4,6,99.24,1,70.4073,0.2,1
SUP_15585,Kazakhstan,Asia,Manufacturing,3,62.429012,66.496233,8.803025,48,24,3,7,39.53,0,60.6426,0.25,1
SUP_23229,Japan,Asia,Retail,1,45.807516,84.296791,7.890843,13,0,2,34,59.29,1,77.6451,0.3333,1
SUP_29491,UAE,Asia,Energy,3,47.380914,77.162892,6.433154,48,29,7,36,71.68,1,72.1989,0.125,1
SUP_27790,Belarus,Europe,Electronics,2,68.247399,77.696946,3.733897,66,39,5,16,72.4,0,74.7958,0.1667,1
SUP_25465,Mexico,North America,Manufacturing,3,52.915072,69.406843,4.139487,31,11,0,9,57.8,1,66.5338,1,1
SUP_14379,Kenya,Africa,Retail,2,60.418033,84.574317,9.552456,48,10,3,32,88.24,0,76.4954,0.25,1
SUP_00940,Indonesia,Asia,Energy,2,54.068325,82.454403,7.614411,31,40,5,27,84.29,0,76.176,0.1667,0
SUP_11279,Ethiopia,Africa,Energy,2,59.303352,77.557186,6.812533,48,56,1,23,48.28,2,72.2736,0.5,1
SUP_33588,UAE,Asia,Energy,2,56.169126,69.357404,5.729012,48,41,4,23,52.75,0,65.3839,0.2,1
SUP_10208,Hungary,Europe,Electronics,2,73.005723,79.359156,4.229841,31,31,3,22,72.14,1,76.0024,0.25,0
SUP_19517,South Korea,Asia,Manufacturing,3,50.467422,71.243263,4.112665,13,16,4,1,62.59,2,68.3133,0.2,1
SUP_23802,Japan,Asia,Manufacturing,2,49.059507,73.071779,7.653717,13,37,5,25,62.25,2,67.4791,0.1667,1
SUP_33752,UAE,Asia,Energy,3,56.629764,70.798032,9.815965,48,51,0,1,87.26,0,63.8485,1,1
SUP_13722,Hungary,Europe,Electronics,3,77.490787,73.016977,4.494961,31,35,2,2,62.24,0,69.7349,0.3333,0
SUP_00253,Brazil,South America,Manufacturing,3,62.90019,66.543214,5.782909,31,40,2,2,81.58,2,62.6951,0.3333,0
SUP_05526,India,Asia,Healthcare,2,54.248263,90.3559,1.337161,49,38,5,23,76.22,1,89.1477,0.1667,1
SUP_23625,Singapore,Asia,Retail,3,93.379896,100,0.103595,13,15,0,11,46.37,0,99.8964,1,0
SUP_16405,Netherlands,Europe,Healthcare,1,53.411112,70.569688,0.984062,12,9,0,38,74.79,1,69.8752,1,1
SUP_15151,South Africa,Africa,Healthcare,1,43.036708,87.442039,2.337318,31,34,2,32,100.23,2,85.3982,0.3333,1
SUP_19849,Sweden,Europe,Manufacturing,2,59.133536,80.469844,5.749842,12,32,3,38,71.49,1,75.843,0.25,1
SUP_24461,Indonesia,Asia,Electronics,3,57.903355,78.31734,4.387069,31,33,0,3,94.4,2,74.8815,1,1
SUP_16658,Jordan,Asia,Healthcare,1,49.012222,70.782904,2.860991,49,20,1,25,82.2,0,68.7578,0.5,1
SUP_05769,Argentina,South America,Healthcare,3,51.424627,71.231672,2.426011,48,12,2,11,72.56,0,69.5036,0.3333,1
SUP_21794,Bangladesh,Asia,Retail,1,49.375119,86.066903,2.404962,48,22,0,38,61.3,1,83.997,1,1
SUP_26612,Mali,Africa,Retail,2,47.287857,78.88719,2.206472,66,17,0,21,80.92,2,77.1466,1,1
SUP_12330,UAE,Asia,Healthcare,2,48.755566,76.741119,0,48,24,3,27,75.78,2,76.7411,0.25,1
SUP_05086,Indonesia,Asia,Manufacturing,3,66.378157,99.041139,8.805105,31,27,7,22,32.55,1,90.3205,0.125,0
SUP_13704,Brazil,South America,Manufacturing,1,68.9012,72.039562,7.384356,31,15,0,27,58.77,0,66.7199,1,1
SUP_09611,Ethiopia,Africa,Energy,2,42.234412,58.505668,3.630242,48,47,4,26,68.77,0,56.3818,0.2,1
SUP_20630,Norway,Europe,Retail,3,47.429871,78.124458,2.211217,12,16,1,7,65.22,1,76.397,0.5,1
SUP_26708,Brazil,South America,Retail,2,51.815823,96.494568,0,31,19,0,18,45.28,0,96.4946,1,1
SUP_11470,Netherlands,Europe,Healthcare,1,52.17497,80.774601,2.270397,12,25,2,28,80.75,1,78.9407,0.3333,1
SUP_03891,Denmark,Europe,Retail,2,48.08842,85.251412,8.101012,11,23,4,20,88.38,0,78.3452,0.2,0
SUP_15566,South Africa,Africa,Electronics,2,85.67471,88.640898,0.397077,31,25,3,17,100.48,1,88.2889,0.25,0
SUP_15429,Germany,Europe,Retail,3,38.029857,81.559942,11.740963,11,12,2,8,80.67,1,71.984,0.3333,1
SUP_28192,Romania,Europe,Retail,2,50.359967,80.568115,3.454487,30,16,4,16,51.35,2,77.7849,0.2,1
SUP_13669,Egypt,Africa,Energy,1,55.428388,43.611131,9.23161,48,27,0,24,91.78,1,39.5851,1,1
SUP_27732,Indonesia,Asia,Energy,2,47.36793,90.322017,5.385017,31,25,2,13,58.4,0,85.4582,0.3333,1
SUP_27987,Sweden,Europe,Retail,2,72.439571,78.811373,8.751829,12,11,5,29,66.45,0,71.9139,0.1667,0
SUP_19630,Brazil,South America,Manufacturing,3,44.06194,68.025497,4.700575,31,11,4,1,66.23,1,64.8279,0.2,1
SUP_13457,Brazil,South America,Manufacturing,2,70.653653,71.045363,4.992994,31,44,1,20,59.65,1,67.4981,0.5,1
SUP_26714,Ethiopia,Africa,Electronics,3,60.724005,89.891666,2.698675,48,42,3,1,82.92,0,87.4658,0.25,1
SUP_29084,Sweden,Europe,Manufacturing,2,45.378339,76.919331,4.557952,12,32,2,14,70.77,0,73.4219,0.3333,1
SUP_26101,Saudi Arabia,Asia,Electronics,3,60.371238,64.400714,1.918804,48,4,1,2,55.61,1,63.165,0.5,1
SUP_08147,Jordan,Asia,Retail,2,56.592041,98.713591,1.172927,49,9,2,19,93.95,1,97.5558,0.3333,0
SUP_16121,Thailand,Asia,Manufacturing,2,50.064838,82.335552,8.228467,30,34,4,21,100.29,0,75.5606,0.2,0
SUP_08808,Colombia,South America,Electronics,3,63.452069,80.145357,2.727302,31,35,4,9,68.79,0,77.9596,0.2,0
SUP_19714,Japan,Asia,Manufacturing,3,56.592041,77.590662,10.969433,13,25,1,8,60.15,1,69.0794,0.5,0
SUP_27939,Poland,Europe,Retail,1,13.422042,85.00683,4.176245,31,11,1,36,43.37,2,81.4567,0.5,1
SUP_20160,Bangladesh,Asia,Manufacturing,3,56.730188,76.238248,5.938588,48,12,6,17,64.54,2,71.7108,0.1429,1
SUP_26814,Romania,Europe,Energy,2,46.788535,55.258711,5.333522,30,61,4,12,76.52,0,52.3115,0.2,1
SUP_25139,Jordan,Asia,Electronics,2,62.168705,65.152316,0,49,50,2,12,51.65,1,65.1523,0.3333,1
SUP_12783,Mozambique,Africa,Healthcare,3,51.214542,72.11207,0,66,31,4,11,100.13,1,72.1121,0.2,1
SUP_10489,Japan,Asia,Manufacturing,2,45.156721,82.342986,0,13,37,3,40,67.17,0,82.343,0.25,0
SUP_27862,Hungary,Europe,Retail,1,31.569323,77.861599,5.070485,31,21,0,29,41.4,0,73.9136,1,1
SUP_13357,Colombia,South America,Electronics,2,61.585604,75.71014,0,31,43,4,22,70.79,1,75.7101,0.2,1
SUP_29819,Saudi Arabia,Asia,Energy,2,52.157761,66.167113,6.45189,48,47,5,24,80.59,0,61.8981,0.1667,1
